block,claim_use,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,p_event_up_rate,unconstrained_event_rate,delta_unconstrained_event_rate,char_accuracy,delta_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B4_semi_event_0.5,B4,10,0.9917363067666689,0.07972414513429003,0.0054165944725610956,0.0,1.0,0.0,0.8834444444444445,0.04427777777777777,0.43833333333333335,0.15866666666666668,0.46310498192575245,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B5_rule_feature_0.8,B5,10,0.9413540893395742,0.029341927707195282,0.001993773742800511,0.0,1.0,0.0,0.8598888888888889,0.02072222222222222,0.3506666666666667,0.07100000000000001,0.5720926637119716,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B6_pr_style_tau0.8,B6,10,0.9320716982682546,0.020059536635875695,0.0033376971820029636,0.0,1.0,0.0,0.861,0.021833333333333326,0.3586666666666667,0.079,0.5880345343748729,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B0_unconstrained,B0,10,0.8976678717633089,0.0,0.0,0.0,0.994,0.0,0.8794761904761905,0.0,0.3453333333333333,0.0,0.5091074896539961,0.0013333333333333335
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B2_event_0.1,B2,10,0.8949732009867827,-0.00269467077652612,0.0002598444925297006,0.0,0.9936666666666667,-0.000333333333333341,0.8714761904761905,-0.007999999999999985,0.312,-0.03333333333333333,0.5364465360868544,0.0013333333333333335
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B2_event_0.5,B2,10,0.9303247981270154,0.03265692636370661,0.0020119132549623183,0.0,0.9976666666666667,0.0036666666666666627,0.8956190476190476,0.016142857142857136,0.414,0.06866666666666667,0.45614873023260205,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B4_semi_event_0.1,B4,10,0.9655658002297083,0.0678979284663995,0.004445829359336963,0.0,0.9986666666666667,0.004666666666666652,0.8978571428571428,0.018380952380952366,0.433,0.08766666666666667,0.45742849191029866,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B4_semi_event_0.5,B4,10,0.9885271037817002,0.09085923201839131,0.004269624309503996,0.0,1.0,0.005999999999999994,0.9117142857142857,0.032238095238095246,0.4903333333333333,0.145,0.3799162848336356,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B5_rule_feature_0.8,B5,10,0.9332662707169851,0.03559839895367624,0.0015794733949858351,0.0,0.998,0.003999999999999992,0.8942857142857142,0.014809523809523805,0.4086666666666667,0.06333333333333334,0.4552746709414891,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_c6d,real_l25_u100,B6_pr_style_tau0.8,B6,10,0.9248537607093652,0.02718588894605639,0.004030620400586177,0.0,0.9966666666666667,0.002666666666666662,0.8985238095238095,0.019047619047619046,0.43333333333333335,0.088,0.45297556654612225,0.0013333333333333335
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B0_unconstrained,B0,10,0.9138900404175123,0.0,0.0,0.0,1.0,0.0,0.8191333333333333,0.0,0.2856666666666667,0.0,0.6882570030053456,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B2_event_0.1,B2,10,0.910953087647756,-0.002936952769756351,0.00027954951424924543,0.0,1.0,0.0,0.8118,-0.007333333333333314,0.2613333333333333,-0.024333333333333342,0.730400670115153,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B2_event_0.5,B2,10,0.9439000316659609,0.030009991248448675,0.0023392842342078867,0.0,1.0,0.0,0.8471333333333333,0.028000000000000014,0.379,0.09333333333333332,0.5922145332018535,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B4_semi_event_0.1,B4,10,0.9712957112193108,0.05740567080179848,0.004857548867402766,0.0,1.0,0.0,0.8316666666666667,0.01253333333333333,0.3406666666666667,0.054999999999999986,0.6558304126898448,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B4_semi_event_0.5,B4,10,0.9912940901319186,0.07740404971440631,0.005095870021107156,0.0,1.0,0.0,0.8652,0.04606666666666668,0.44533333333333336,0.15966666666666665,0.5173749517122904,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B5_rule_feature_0.8,B5,10,0.9432381776968638,0.029348137279351528,0.0019759477086486125,0.0,1.0,0.0,0.8398,0.020666666666666667,0.3546666666666667,0.069,0.6094743677298228,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,stock_5d,real_l25_u100,B6_pr_style_tau0.8,B6,10,0.9322115074396133,0.01832146702210107,0.0032995274239327483,0.0,1.0,0.0,0.8352666666666667,0.016133333333333343,0.3416666666666667,0.055999999999999994,0.6441932740211487,0.0
